"X1","X2","X3","mid_lon","mid_lat","mid_dist"
83,90,216,-93.9293542666667,47.3791288333333,0.434882482866932
83,94,193,-93.9610261333333,47.1764007333333,0.43431389573291
15,151,215,-95.3282901333333,47.4293498,0.434289939950747
129,130,215,-96.7692006333333,47.3048617666667,0.430932911448354
15,139,215,-95.3196078666667,47.4026751666667,0.430563982061181
4,12,74,-95.7145274,46.1545471333333,0.430341231888744
15,148,172,-95.2410748,47.7546246,0.430189781446197
83,216,230,-93.9540340666667,47.1536615,0.429804535446414
114,155,229,-95.8982885,44.0248452666667,0.429621365095946
89,94,141,-93.1126511,47.0043700666667,0.42851418450657
152,203,213,-95.1658448,46.4612046,0.427900181201361
83,153,216,-93.9432655333333,47.3140601,0.42764957298031
15,203,207,-95.2894971666667,47.3203004333333,0.427528306047144
116,132,145,-93.4167879666667,46.1961457333333,0.42574827266926
15,51,151,-95.2741737666667,47.2938251666667,0.425370522180409
83,88,118,-93.9507083,47.2424398333333,0.423723798437864
83,140,216,-93.9500990666667,47.2115867666667,0.421975313338849
87,129,207,-96.4274301,47.2877637666667,0.421669009109472
39,131,216,-94.2341488333333,47.5825296,0.42133542015046
89,94,221,-93.1262577333333,47.0190012666667,0.420569715099947
15,28,215,-95.2936402333333,47.3491225666667,0.42053989806016
94,208,216,-93.4687102333333,48.177221,0.420348319489893
118,146,172,-96.1223793333333,47.2830135666667,0.420229720402621
89,139,208,-92.9691223666667,46.9815060666667,0.419467238986317
89,94,109,-93.1117459,47.0142693,0.419028133765738
83,94,203,-93.9054232333333,47.3863468333333,0.415891032338767
90,210,212,-92.5154860666667,45.9689740666667,0.414995438013727
90,211,212,-92.5154860666667,45.9689740666667,0.414995438013727
39,44,172,-94.2802361666667,47.6410564666667,0.414941597777945
1,90,116,-93.3159197333333,46.3851138666667,0.414855308387106
51,87,118,-96.3627117,47.4563319666667,0.414666778417766
57,76,148,-95.5452758333333,47.104332,0.413164946723048
131,208,220,-92.5054967333333,46.1296089666667,0.412998110691243
53,148,210,-93.9084739666667,47.0399076666667,0.41286274808189
53,148,211,-93.9084739666667,47.0399076666667,0.41286274808189
87,130,207,-96.4273511333333,47.2781630666667,0.412317469162063
57,87,118,-96.1065653666667,47.1322524666667,0.411849136499929
76,146,172,-95.98898,47.2401790333333,0.411674508364786
17,55,108,-95.9545268333333,45.0899010666667,0.411426296457504
15,16,118,-95.3059031,47.5535057666667,0.411396318429739
90,208,228,-92.5180375333333,45.9880007333333,0.410894234639132
76,118,203,-95.5602481333333,47.2105183333333,0.409056929202908
44,116,210,-92.7808810333333,46.9400240666667,0.407838060428991
44,116,211,-92.7808810333333,46.9400240666667,0.407838060428991
76,83,215,-95.3495976666667,47.6602860666667,0.407642540447468
15,152,216,-95.2686302,47.6643497333333,0.407153198286499
83,94,107,-93.9321912666667,47.2554840666667,0.406466424512954
89,94,206,-93.0602067,47.0099087333333,0.40605063444554
89,145,210,-93.0543425,47.0086388666667,0.405713723279345
89,145,211,-93.0543425,47.0086388666667,0.405713723279345
44,116,131,-92.8461004666667,46.5842616666667,0.403952893055048
57,204,216,-95.5683437333333,47.1128838333333,0.403169202418279
76,178,215,-95.6029551333333,47.1979382333333,0.403010794987159
1,119,145,-93.6597973666667,46.1330415666667,0.40253321865078
44,90,131,-92.7168029,46.3850967,0.402440626579792
4,12,152,-95.5523159666667,46.2568238666667,0.401457293198283
90,109,208,-92.5271495666667,46.0292098,0.401417104105168
90,141,208,-92.5280547666667,46.0193105666667,0.400217544402395
90,113,208,-92.5281454666667,46.0013186,0.40021713983373
83,206,216,-93.8958838,47.0539316666667,0.400050008099815
53,94,107,-94.1260863333333,47.0781758666667,0.399044287552741
39,51,69,-94.3534458666667,47.6918685666667,0.398377976598295
76,118,154,-95.4323752,47.3309037333333,0.398351010300575
89,94,104,-93.1541796333333,47.0590505666667,0.398233999582791
39,83,214,-94.2376882666667,47.2322424333333,0.397516958180278
57,150,207,-96.0365833,47.16219,0.396561918097844
1,132,145,-93.5459012666667,46.1706070666667,0.395340871150358
53,94,178,-93.9338627666667,47.0321006333333,0.394093749982067
83,89,213,-93.8716685666667,47.0183169333333,0.394080650794456
89,151,208,-92.9778046333333,47.0081807,0.393359722139612
57,134,207,-95.5576939666667,47.0877843,0.392743698908158
15,83,172,-94.7351339333333,47.8509745333333,0.392739003149734
89,94,103,-93.1293962666667,47.0518654333333,0.392434162337194
131,190,208,-92.5397759,46.1314645,0.3908212131986
39,94,134,-94.2183590333333,47.4368838666667,0.390729424061632
83,94,117,-93.9143181666667,47.1562197666667,0.390114926547564
90,156,210,-92.5546023333333,45.9008332,0.389889146150663
90,156,211,-92.5546023333333,45.9008332,0.389889146150663
51,74,215,-96.4816556,47.4210124333333,0.389787757539184
29,74,146,-96.3650502666667,45.9469199,0.389647469161493
15,134,207,-95.2433429,47.3135403666667,0.388899961425187
83,94,149,-93.8864211,47.0604546333333,0.388790337998178
131,185,208,-92.5274891,46.1435632333333,0.388404467378126
15,204,216,-95.2539926666667,47.3386399,0.387642292721917
76,107,207,-95.5993171,47.2160933,0.38750862703827
90,103,208,-92.5447999333333,46.0668059333333,0.387263101392737
53,88,118,-94.1446033666667,47.0651316333333,0.387234299556918
90,208,221,-92.5416614,46.0339417666667,0.387153992046286
59,69,88,-92.0383863,47.1669864,0.387008679959528
90,186,208,-92.5415089333333,46.0084624,0.386721633128588
131,175,208,-92.514159,46.1566027,0.386701990225607
83,94,154,-93.7775503,47.5067322333333,0.38657679425833
133,155,207,-96.1342244666667,45.8975216666667,0.38632504488101
15,172,213,-95.2716409333333,47.5948653666667,0.386214217794944
87,213,215,-96.0799797333333,47.1720602333333,0.386041154467943
53,89,154,-93.8199967,46.9320934666667,0.384464521428623
17,133,146,-95.9877258,45.3999882666667,0.384217769824721
76,118,150,-95.9929832,47.2781639666667,0.38406766954024
90,95,208,-92.5481288666667,45.9635827333333,0.383194768663754
90,200,208,-92.5468250333333,45.9756008333333,0.383150065312611
60,69,88,-92.1000959333333,47.1896566,0.38242886996145
76,139,207,-95.4067981666667,47.4014106333333,0.382337091712683
57,152,213,-95.5182869666667,46.6150554,0.381291924661963
90,187,208,-92.5474605,46.0050002333333,0.380821203131131
53,69,150,-94.0123974333333,47.0469786,0.380205490547495
131,176,208,-92.5274237,46.1565321,0.378275859239607
83,152,210,-93.8910390333333,47.1049011,0.378215534251611
83,152,211,-93.8910390333333,47.1049011,0.378215534251611
76,87,118,-96.0752662,47.3846641666667,0.378069119202523
1,12,69,-93.7542102666667,46.9069945,0.377224642399638
1,94,194,-93.7596249,46.9061394,0.377145836537292
39,63,69,-94.4897709,47.7418875,0.376786845837296
90,188,208,-92.5516753333333,45.9987058333333,0.376782099532415
53,59,118,-94.1175770333333,47.0553383666667,0.375954927329915
83,102,216,-93.9003118666667,47.171681,0.37430018253048
44,60,83,-92.7549525333333,46.9186114333333,0.374236781660255
55,114,115,-95.8738576,44.6090926666667,0.37333080893743
37,114,115,-95.9478291333333,44.5332446666667,0.372522999042718
83,94,105,-93.8202691,46.9806618333333,0.37226815433579
15,39,207,-95.2297742333333,47.6630073666667,0.371605303527304
83,94,134,-93.8592689666667,47.3795867666667,0.371413308317993
15,172,214,-95.0856083333333,47.8145315666667,0.370995362099061
115,155,183,-95.5644628,44.1421224333333,0.370943815385784
29,63,229,-96.4015367333333,45.9455628333333,0.370682501082234
148,154,214,-94.6754791333333,46.9135709666667,0.370570999016681
15,76,148,-95.2309247666667,47.3300880666667,0.370328572581458
90,208,220,-92.5597922333333,45.9835053,0.369544375498834
3,27,219,-93.7278265666667,43.6942564666667,0.369484680918645
76,117,172,-95.4458937666667,47.3620932666667,0.368978223580206
57,118,148,-95.6786751666667,47.1471665333333,0.368564215094457
29,37,87,-96.3996956333333,45.9496057333333,0.368186172900786
131,174,208,-92.5278625,46.1700758666667,0.367560859796609
131,177,208,-92.5365334,46.1629745666667,0.36755030155372
29,118,155,-96.3493606666667,45.9879171333333,0.367375868283308
1,94,182,-93.7719846,46.8937453,0.36700089819363
57,63,145,-95.5017722,46.9544039333333,0.366931779115974
148,154,207,-95.210661,47.2501388666667,0.366856892861452
83,116,214,-93.8079249333333,46.9744217333333,0.366663098678336
133,183,215,-95.7658538,45.9188704666667,0.365953796433073
57,203,207,-95.6038482333333,47.0945443666667,0.365861747002653
1,94,180,-93.7647980333333,46.8927125,0.364708772581743
1,94,181,-93.7470116666667,46.8952708,0.364681132353749
53,58,118,-94.1386607666667,47.0429981,0.364677507426969
102,142,208,-92.5603823666667,45.6219824333333,0.364168930270176
90,104,208,-92.5695833,46.0739910666667,0.363891525272334
83,150,208,-93.7605705666667,46.9316593333333,0.363702892655792
15,53,215,-95.2604408333333,47.4563222333333,0.363560236233881
76,151,207,-95.4154804333333,47.4280852666667,0.363096750202468
51,63,150,-96.5707999,47.4286839666667,0.362427776282064
90,173,208,-92.5771076333333,45.9227012,0.362361394307855
131,198,208,-92.5182067333333,46.1857341333333,0.362269328419285
53,60,76,-94.0458873333333,47.0351740333333,0.361408108250987
12,29,201,-95.748838,45.9260155666667,0.360024446616649
90,175,208,-92.5684545,46.0104990333333,0.359761421697265
90,132,145,-93.2874904,45.9969807666667,0.359606512102943
83,87,208,-93.8428535666667,47.0381595333333,0.359253436485879
148,203,207,-95.3385339333333,47.1297534666667,0.358648062952275
37,114,155,-96.1263428666667,44.3826915666667,0.358466134096402
70,183,199,-94.5963110333333,43.9757337,0.35820257827708
51,118,130,-96.5086206333333,47.4455098,0.358183492599517
89,154,208,-93.0070003333333,47.0474369,0.357758779241209
131,179,208,-92.5518653666667,46.1635817666667,0.357720120623666
29,55,87,-96.3257241,46.0254537333333,0.357451979152107
83,207,208,-93.7946787666667,47.4495484666667,0.357451836254004
76,134,172,-95.3908445666667,47.5854602666667,0.357332782859406
87,152,215,-96.2258737333333,47.2195047,0.357301020666367
90,198,208,-92.5725022333333,46.0396304666667,0.356755742337461
53,76,88,-94.0112040333333,47.0222971,0.356731943631202
76,118,207,-96.0270914,47.7960531,0.356690366181092
57,148,152,-95.4877208333333,46.7748146333333,0.356637946774415
53,140,216,-94.1439941333333,47.0342785666667,0.356457869808909
192,224,229,-95.2786676333333,43.9144907666667,0.356405868777484
53,59,76,-93.9841777,47.0125038333333,0.355947965228595
39,94,148,-94.3516411666667,47.6327038333333,0.35581308098299
116,131,132,-93.1238549333333,46.3105255666667,0.355718097645606
12,55,152,-95.7815901,45.9351346333333,0.355642640157957
57,152,207,-95.8674362333333,47.1712895,0.355497421416284
57,172,201,-95.5198634,46.9649158,0.354492995321445
148,203,213,-94.9893846666667,46.5735193666667,0.353375179458164
90,116,131,-93.0032133666667,46.3575912333333,0.353321014331357
15,51,53,-95.2063244666667,47.3207976,0.352903714186434
57,63,154,-95.7540455666667,47.1573442333333,0.351777465002816
90,193,208,-93.1834675666667,46.2543790333333,0.351777029651818
131,135,208,-92.5445872333333,46.1773987,0.351258286615323
1,89,154,-93.6845416666667,46.8833394,0.350647748376347
28,40,154,-94.0003505666667,46.0773222333333,0.349869620779069
145,148,189,-93.9659019,45.9712282333333,0.34944165135602
53,94,194,-93.8950799333333,46.9548934666667,0.349242220296456
76,213,216,-95.4057881,47.6435609,0.349212778727883
51,118,129,-96.5086996,47.4551105,0.348965620255543
53,94,181,-93.8824667,46.9440248666667,0.348822493938268
178,187,214,-93.9703645,45.9678627666667,0.348732556955933
148,193,207,-95.3941368333333,46.9198073666667,0.348199633114113
90,185,208,-92.5817846,45.9974595666667,0.346745393960416
28,62,214,-93.9986907,46.0826875666667,0.346588946854634
90,176,208,-92.5817192,46.0104284333333,0.346497277377147
90,174,208,-92.582158,46.0239722,0.346249331582107
39,94,203,-94.2645133,47.4436439333333,0.34618420583738
116,119,131,-93.2377510333333,46.2729600666667,0.345849848601082
39,69,87,-94.2598754333333,47.3880841,0.345551968785651
15,214,216,-94.9367036,47.8365714666667,0.344678504840655
76,106,215,-95.6245027,47.2522616333333,0.344573043906879
84,144,161,-95.2167788,44.7080358666667,0.344359917877711
60,82,213,-92.5827028333333,47.0156192333333,0.344162225601363
57,213,215,-95.9174038333334,47.1517652,0.343458334679118
90,101,208,-92.5883142,46.0590184333333,0.343089695909256
13,28,158,-94.0047668333333,46.0944725,0.343028252125545
106,198,214,-94.0169538,46.0568164,0.343000357148443
114,155,224,-95.7387596333333,44.1036197,0.342903236172759
119,148,174,-93.9417378333333,45.9049558666667,0.342806784490819
178,198,214,-93.9954062333333,46.002493,0.342728384794593
15,148,216,-95.0921700666667,47.7766645,0.342474653703133
178,188,214,-93.9745793333333,45.9615683666667,0.342324183058305
12,108,152,-95.8287693,45.9618767333333,0.342149067686252
148,204,216,-95.3030294333333,47.1480929333333,0.342135572832645
183,192,224,-94.9526305,44.0291259,0.341898433840717
148,152,213,-95.2529726666667,46.6502645,0.341883220655733
76,118,213,-95.6779421333333,47.239819,0.341391283435005
90,94,147,-93.191285,46.2298974333333,0.341389191000114
119,148,198,-93.9320820666667,45.9206141333333,0.341260474536673
148,198,207,-94.7831715,46.7050588,0.340970843478014
133,150,204,-95.8415180666667,45.9163405333333,0.340709203910388
15,79,216,-95.2087049,47.3525679666667,0.340611019626244
15,172,193,-95.2095498333333,47.3556186,0.34012752764011
5,96,215,-95.7151596666667,45.9021009333333,0.339644284360994
74,108,152,-95.9445658,45.9599295333333,0.339572642905815
106,134,203,-94.5945005666667,46.2257841333333,0.339511249723581
87,150,215,-96.3950208,47.2104052,0.339174617230789
44,83,88,-92.7202692333333,46.9057345,0.338994988947771
131,136,208,-92.5518766,46.1875169666667,0.338807462757107
145,148,179,-93.9698405666667,46.0148167666667,0.338644998572592
83,107,210,-93.6542190666667,46.8972932,0.338460851679697
83,107,211,-93.6542190666667,46.8972932,0.338460851679697
178,200,214,-93.9697290333333,45.9384633666667,0.338296295431605
28,33,214,-94.0152873333333,46.0810799333333,0.338071486069744
83,94,151,-93.7483546,47.4674760333333,0.337761058194173
102,168,210,-92.6361601666667,45.6582304,0.337568627695904
102,168,211,-92.6361601666667,45.6582304,0.337568627695904
145,148,190,-93.9577511,45.9826995,0.337543645724517
90,177,208,-92.5908289,46.0168709,0.337413056745952
115,201,229,-95.4345166666667,44.4382671666667,0.337348125965214
53,58,76,-94.0052614333333,47.0001635666667,0.337310833173111
90,98,210,-92.5914030666667,45.9951577,0.337245340713757
90,98,211,-92.5914030666667,45.9951577,0.337245340713757
93,161,227,-94.611796,44.6590397666667,0.336888265883181
119,148,176,-93.9412990333333,45.8914121,0.336836887618826
132,193,208,-93.3041091333333,46.2073133666667,0.336478027382886
89,94,230,-93.1183569666667,47.1096385666667,0.33645637404251
106,131,193,-94.0231784,46.0544230333333,0.336421660120317
60,69,116,-92.4801935,47.1217686666667,0.335928108930684
39,59,118,-94.2827720333333,47.2899436666667,0.335851946290427
148,191,216,-94.7758738333333,46.7231712,0.335569373833806
53,203,210,-93.8213461,46.8508477666667,0.335534414007897
53,203,211,-93.8213461,46.8508477666667,0.335534414007897
53,94,180,-93.9002530666667,46.9414665666667,0.335498422256734
12,130,144,-95.8281666,45.9688085,0.335418177136252
90,190,208,-92.5940714,45.9853608333333,0.335225908357029
102,166,210,-92.6245008333333,45.6457644666667,0.335163341075375
102,166,211,-92.6245008333333,45.6457644666667,0.335163341075375
152,172,201,-95.4310092333333,46.8878101333333,0.335086491495043
89,131,210,-92.7614094666667,47.1230187,0.335076163181747
89,131,211,-92.7614094666667,47.1230187,0.335076163181747
57,79,172,-95.6719607,47.104772,0.334446936889253
70,183,224,-94.7239540333333,43.8337069666667,0.33441179745023
12,17,74,-95.7962772666667,45.9604127666667,0.33413645718
76,107,215,-95.7951787,47.2440134666667,0.333290080924964
74,130,144,-95.9439631,45.9668613,0.333289815612912
131,154,208,-92.9456962333333,46.7308142,0.33321918098914
102,170,210,-92.6252413666667,45.6433635333333,0.332853956846634
102,170,211,-92.6252413666667,45.6433635333333,0.332853956846634
131,165,208,-92.5905817333333,46.1680230666667,0.332270752397832
119,148,185,-93.9413644333333,45.8784432333333,0.331991696197008
53,94,182,-93.9074396333333,46.9424993666667,0.331875161022705
131,145,210,-92.9930384,46.6920161666667,0.331841870648578
131,145,211,-92.9930384,46.6920161666667,0.331841870648578
74,108,150,-96.1137128666667,45.9508300333333,0.331794813491994
87,150,207,-96.1991592,47.1824850333333,0.331626864554798
145,209,214,-93.9650220666667,46.0238490333333,0.331620461593819
154,158,207,-94.7221567333333,46.7985710333333,0.331577555143905
53,57,210,-94.1737882666667,47.0046985666667,0.331468045305859
53,57,211,-94.1737882666667,47.0046985666667,0.331468045305859
15,207,214,-95.2211585666667,47.5692673,0.330998550456783
15,52,215,-95.2126205,47.3888219,0.330936171322524
106,174,214,-94.0266095666667,46.0411581333333,0.330642799610487
102,167,210,-92.6228138666667,45.6382417333333,0.330569553753809
102,167,211,-92.6228138666667,45.6382417333333,0.330569553753809
12,84,87,-95.8636761666667,45.9894129,0.330534211321831
83,94,221,-93.3192199666667,46.9559634666667,0.329973721779056
53,89,148,-94.0349975,47.0007679666667,0.329898760698581
90,135,208,-92.5988827333333,46.0312950333333,0.329874609585694
57,207,213,-95.7215422333333,47.1238450333333,0.329870592859232
144,191,222,-94.6745216666667,44.7434738,0.32976022517554
148,207,230,-94.7444299,46.7900074,0.329277572572843
44,60,210,-92.4354667666667,47.0207889333333,0.329151816982219
44,60,211,-92.4354667666667,47.0207889333333,0.329151816982219
74,76,155,-96.0390539,45.950217,0.329145092961813
106,176,214,-94.0261707666667,46.0276143666667,0.329144509735792
178,214,220,-93.9826962333333,45.9463678333333,0.328967856024259
28,76,212,-94.0019931333333,46.1028299333333,0.328729869740985
133,146,150,-96.1445487666667,45.8132639333333,0.328658452907054
116,208,214,-93.1888236333333,46.9124569666667,0.328315303516427
90,189,208,-92.6022222,45.9738895666667,0.328246845179083
148,178,215,-95.36894,46.9807356333333,0.32823024056676
29,37,130,-96.5456045666667,45.9387835666667,0.327775847269163
28,36,134,-94.0266088,46.0860508666667,0.32756375720448
44,82,213,-92.6417066333333,46.9623598333333,0.327227175752271
93,105,222,-94.6565917,45.0504622,0.327193793775914
116,127,210,-93.1099391333333,46.3564738666667,0.326629681440943
116,127,211,-93.1099391333333,46.3564738666667,0.326629681440943
12,129,144,-95.8282455666667,45.9784092,0.326428502907894
12,63,70,-95.7257294333333,45.9584206333333,0.326175866270579
154,215,230,-94.7252907,46.7492530666667,0.326014873949997
90,121,208,-92.6029851333333,45.9954562333333,0.325663221456198
57,118,134,-95.5453930333333,46.9513465666667,0.32563279642067
39,207,210,-94.4533843666667,47.6709878333333,0.325396613617786
39,207,211,-94.4533843666667,47.6709878333333,0.325396613617786
154,207,231,-94.7237086333333,46.7572813666667,0.325354040590662
102,169,210,-92.6297541666667,45.6373400333333,0.325342545730216
102,169,211,-92.6297541666667,45.6373400333333,0.325342545730216
39,154,214,-94.5286283333333,47.067218,0.325250522787182
90,120,208,-92.6043065333333,45.985016,0.325053762127054
76,146,216,-95.8400752666667,47.2622189333333,0.325043560099696
51,63,130,-96.7989918333333,47.524362,0.324962428291501
12,87,181,-95.3927322,46.2407064666667,0.324792570183564
119,148,175,-93.9280343333333,45.8914827,0.324720871396186
161,192,224,-95.1147638666667,44.2166439333333,0.324632422366554
116,203,210,-93.5567777666667,46.8276323666667,0.324603108584218
116,203,211,-93.5567777666667,46.8276323666667,0.324603108584218
74,129,144,-95.9440420666667,45.976462,0.324300041360261
145,148,177,-93.9545086,46.0142095666667,0.324099778082781
