"address","lat","lon","id"
"1402 MN-33, Cloquet, MN 55720, USA",46.6923339,-92.4568726,"EiIxNDAyIE1OLTMzLCBDbG9xdWV0LCBNTiA1NTcyMCwgVVNBIhsSGQoUChIJH7VsgTAurlIR8UTvE_jay-0Q-go"
"230 Cokato St W, Cokato, MN 55321, USA",45.0797088,-94.1929143,"ChIJBQ124vLFtFIRkQhrc1S11pc"
"880 MN-23, Cold Spring, MN 56320, USA",45.4594359,-94.4033846,"ChIJIx8P_sn-tFIR-HFvM9j3QAY"
"3959 Central Ave NE, Columbia Heights, MN 55421, USA",45.0399308,-93.2470029,"EjQzOTU5IENlbnRyYWwgQXZlIE5FLCBDb2x1bWJpYSBIZWlnaHRzLCBNTiA1NTQyMSwgVVNBIhsSGQoUChIJHxSBMG0us1IRNnD7iMtHCusQ9x4"
"370 Northdale Blvd NW, Coon Rapids, MN 55433, USA",45.175358,-93.27597,"ChIJKfjuVKgks1IRUXTn3Xz5RMM"
"3595 River Rapids Dr, Coon Rapids, MN 55448, USA",45.1997945,-93.3572165,"ChIJUYw-ODs8s1IRZQXGrsUF76I"
"7175 80th St S, Cottage Grove, MN 55016, USA",44.8330529,-92.9608601,"ChIJBz-C40DQ94cRaeynOl7gtN0"
"1740 University Ave, Crookston, MN 56716, USA",47.7889497,-96.6103283,"ChIJPWZ-zr9bxlIRWpqoQ4SdHMU"
"714 Oak St, Crosby, MN 56441, USA",46.4769627,-93.966348,"ChIJk1zyVtvKtlIRxhM-k2pigTQ"
"36404 Co Rd 66, Crosslake, MN 56442, USA",46.6794637,-94.109809,"EigzNjQwNCBDbyBSZCA2NiwgQ3Jvc3NsYWtlLCBNTiA1NjQ0MiwgVVNBIhwSGgoUChIJTca0iCnXtlIRX7MQDNLbg9sQtJwC"
"6827 Bass Lake Rd, Crystal, MN 55428, USA",45.0543783,-93.3679419,"ChIJPTQy6Nw2s1IRjIiMVXUbTbY"
"108 6th St, Dawson, MN 56232, USA",44.9356041,-96.0548719,"ChIJR4ia4Fw2y1IRGGXbT77KD_k"
"403 W River Rd, Delano, MN 55328, USA",45.0352309,-93.7912757,"ChIJ36zn96OptFIRVdwL5KGB8pM"
"900 McKinley Ave, Detroit Lakes, MN 56501, USA",46.8167112,-95.8418893,"ChIJqeSF-ZVIyFIRgGFbZZgMfqQ"
